InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country

910001,A001,BAGUETTE BREAD,2,5/4/2026 08:10,0.40,901,Algeria
910001,B010,MILK 1L,1,5/4/2026 08:10,0.85,901,Algeria
910001,C020,SUGAR 1KG,1,5/4/2026 08:10,1.10,901,Algeria

910002,D030,COFFEE PACK,1,5/4/2026 08:20,3.80,902,Algeria
910002,E040,TEA GREEN BOX,1,5/4/2026 08:20,2.60,902,Algeria
910002,F050,BISCUITS PACK,2,5/4/2026 08:20,1.80,902,Algeria

910003,G060,COUSCOUS 1KG,1,5/4/2026 08:35,2.20,903,Algeria
910003,H070,CHICKEN WHOLE,1,5/4/2026 08:35,6.90,903,Algeria
910003,I080,POTATO KG,2,5/4/2026 08:35,0.80,903,Algeria

910004,J090,OLIVE OIL 1L,1,5/4/2026 08:50,4.50,904,Algeria
910004,K100,TOMATO KG,2,5/4/2026 08:50,1.20,904,Algeria
910004,L110,ONION KG,1,5/4/2026 08:50,0.90,904,Algeria

910005,M120,MILK 1L,2,5/4/2026 09:05,0.85,905,Algeria
910005,N130,CHOCOLATE BAR,2,5/4/2026 09:05,1.20,905,Algeria
910005,O140,BISCUITS PACK,1,5/4/2026 09:05,1.80,905,Algeria

910006,P150,COUSCOUS 1KG,1,5/4/2026 09:20,2.20,906,Algeria
910006,Q160,COOKING OIL 1L,1,5/4/2026 09:20,4.10,906,Algeria
910006,R170,LENTILS 1KG,1,5/4/2026 09:20,1.70,906,Algeria

910007,S180,TEA GREEN BOX,2,5/4/2026 09:35,2.60,907,Algeria
910007,T190,SUGAR 1KG,1,5/4/2026 09:35,1.10,907,Algeria
910007,U200,BAGUETTE BREAD,2,5/4/2026 09:35,0.40,907,Algeria

910008,V210,FISH FROZEN PACK,1,5/4/2026 09:50,5.80,908,Algeria
910008,W220,RICE 5KG,1,5/4/2026 09:50,5.60,908,Algeria
910008,X230,SPICES MIX,2,5/4/2026 09:50,0.90,908,Algeria

910009,Y240,SOAP BAR,3,5/4/2026 10:05,0.60,909,Algeria
910009,Z250,SHAMPOO BOTTLE,1,5/4/2026 10:05,2.90,909,Algeria
910009,A260,TOOTHPASTE,2,5/4/2026 10:05,1.40,909,Algeria

910010,B270,JUICE BOTTLE,2,5/4/2026 10:20,1.60,910,Algeria
910010,C280,SODA CAN,3,5/4/2026 10:20,0.70,910,Algeria
910010,D290,BISCUITS PACK,1,5/4/2026 10:20,1.80,910,Algeria

910011,E300,EGGS DOZEN,1,5/4/2026 10:35,2.40,911,Algeria
910011,F310,MILK 1L,2,5/4/2026 10:35,0.85,911,Algeria
910011,G320,BAGUETTE BREAD,2,5/4/2026 10:35,0.40,911,Algeria

910012,H330,COFFEE PACK,1,5/4/2026 10:50,3.80,912,Algeria
910012,I340,TEA GREEN BOX,1,5/4/2026 10:50,2.60,912,Algeria
910012,J350,SUGAR 1KG,1,5/4/2026 10:50,1.10,912,Algeria

910013,K360,CHICKEN BREAST KG,1,5/4/2026 11:05,7.20,913,Algeria
910013,L370,POTATO KG,3,5/4/2026 11:05,0.80,913,Algeria
910013,M380,ONION KG,2,5/4/2026 11:05,0.90,913,Algeria

910014,N390,COUSCOUS 1KG,1,5/4/2026 11:20,2.20,914,Algeria
910014,O400,OLIVE OIL 1L,1,5/4/2026 11:20,4.50,914,Algeria
910014,P410,SPICES MIX,1,5/4/2026 11:20,0.90,914,Algeria

910015,Q420,MILK 1L,1,5/4/2026 11:35,0.85,915,Algeria
910015,R430,BISCUITS PACK,2,5/4/2026 11:35,1.80,915,Algeria
910015,S440,CHOCOLATE BAR,2,5/4/2026 11:35,1.20,915,Algeria
