InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
700001,A100,TEA CUP SET,2,5/1/2026 10:00,4.50,501,United Kingdom
700001,B200,TEA SPOON SET,1,5/1/2026 10:00,2.20,501,United Kingdom
700001,C300,CAKE PLATE,1,5/1/2026 10:00,5.10,501,United Kingdom
700002,A100,TEA CUP SET,1,5/1/2026 10:05,4.50,502,United Kingdom
700002,D400,TEA POT,1,5/1/2026 10:05,8.90,502,United Kingdom
700002,E500,CANDLE HOLDER,2,5/1/2026 10:05,3.75,502,United Kingdom
700003,B200,TEA SPOON SET,2,5/1/2026 10:10,2.20,503,France
700003,C300,CAKE PLATE,1,5/1/2026 10:10,5.10,503,France
700003,F600,COOKIE JAR,1,5/1/2026 10:10,6.30,503,France
700004,A100,TEA CUP SET,2,5/1/2026 10:15,4.50,504,Germany
700004,B200,TEA SPOON SET,2,5/1/2026 10:15,2.20,504,Germany
700004,D400,TEA POT,1,5/1/2026 10:15,8.90,504,Germany
700005,A100,TEA CUP SET,1,5/1/2026 10:20,4.50,505,United Kingdom
700005,C300,CAKE PLATE,2,5/1/2026 10:20,5.10,505,United Kingdom
700005,E500,CANDLE HOLDER,1,5/1/2026 10:20,3.75,505,United Kingdom
700006,B200,TEA SPOON SET,1,5/1/2026 10:25,2.20,506,Spain
700006,D400,TEA POT,1,5/1/2026 10:25,8.90,506,Spain
700006,F600,COOKIE JAR,2,5/1/2026 10:25,6.30,506,Spain
700007,A100,TEA CUP SET,1,5/1/2026 10:30,4.50,507,United Kingdom
700007,B200,TEA SPOON SET,1,5/1/2026 10:30,2.20,507,United Kingdom
700007,C300,CAKE PLATE,1,5/1/2026 10:30,5.10,507,United Kingdom
700007,D400,TEA POT,1,5/1/2026 10:30,8.90,507,United Kingdom
700008,E500,CANDLE HOLDER,2,5/1/2026 10:35,3.75,508,France
700008,F600,COOKIE JAR,1,5/1/2026 10:35,6.30,508,France
700008,G700,BISCUIT TIN,1,5/1/2026 10:35,4.10,508,France
700009,A100,TEA CUP SET,2,5/1/2026 10:40,4.50,509,Germany
700009,E500,CANDLE HOLDER,1,5/1/2026 10:40,3.75,509,Germany
700009,G700,BISCUIT TIN,2,5/1/2026 10:40,4.10,509,Germany
700010,B200,TEA SPOON SET,1,5/1/2026 10:45,2.20,510,Italy
700010,C300,CAKE PLATE,1,5/1/2026 10:45,5.10,510,Italy
700010,F600,COOKIE JAR,1,5/1/2026 10:45,6.30,510,Italy
700010,G700,BISCUIT TIN,1,5/1/2026 10:45,4.10,510,Italy
